Time,Current density,Voltage,Voltage amplitude
0.001,-1.11E-11,0,24
4.00E-03,-1.11E-11,0,24
7.00E-03,-1.11E-11,0,24
1.00E-02,-1.11E-11,0.00E+00,24
1.30E-02,-1.11E-11,0,24
1.60E-02,-1.11E-11,0,24
1.90E-02,-1.11E-11,0,24
0.022,-1.11E-11,0,24
0.025,-1.11E-11,0,24
0.028,-1.11E-11,0,24
0.031,-1.11E-11,0,24
0.034,-1.11E-11,0,24
0.037,-1.11E-11,0,24
0.04,-1.11E-11,0,24
0.043,-1.11E-11,0,24
0.046,-1.11E-11,0,24
0.049,-1.11E-11,0,24
0.0512,6.57E-02,28.8,24
0.0524,6.75E-02,57.6,24
0.0536,6.94E-02,86.4,24
0.0548,7.14E-02,115.2,24
0.056,7.37E-02,144,24
0.0572,7.65E-02,172.8,24
0.0584,8.00E-02,201.6,24
0.0596,8.44E-02,230.4,24
0.0608,8.98E-02,259.2,24
0.062,9.67E-02,288,24
0.0632,1.05E-01,316.8,24
0.0644,1.16E-01,345.6,24
0.0656,1.31E-01,374.4,24
0.0668,1.50E-01,403.19999,24
0.068,1.75E-01,431.99999,24
0.0692,2.10E-01,460.79999,24
0.0704,2.56E-01,489.59998,24
0.0716,3.18E-01,518.39995,24
0.0728,3.97E-01,547.19987,24
0.074,4.90E-01,575.99971,24
0.0752,5.84E-01,604.79934,24
0.0764,6.64E-01,633.59855,24
0.0776,7.22E-01,662.39692,24
0.0788,7.62E-01,691.19365,24
0.08,7.88E-01,719.9873,24
0.0812,8.07E-01,748.77527,24
0.0824,8.22E-01,777.55304,24
0.0836,8.34E-01,806.31291,24
0.0848,8.44E-01,835.04197,24
0.086,8.53E-01,863.71912,24
0.0872,8.61E-01,892.31046,24
0.0884,8.68E-01,920.76276,24
0.0896,8.72E-01,948.99422,24
0.0908,8.73E-01,976.88248,24
0.092,8.70E-01,1004.2504,24
0.0932,8.62E-01,1030.8516,24
0.0944,8.47E-01,1056.3618,24
0.0956,8.24E-01,1080.384,24
0.0968,7.93E-01,1102.4788,24
0.098,7.53E-01,1122.2253,24
0.0992,7.05E-01,1139.3026,24
0.1004,6.52E-01,1153.5649,24
0.1016,5.96E-01,1165.0751,24
0.1028,5.41E-01,1174.0802,24
0.104,4.87E-01,1180.9449,24
0.1052,4.37E-01,1186.0737,24
0.1064,3.92E-01,1189.8509,24
0.1076,3.52E-01,1192.6068,24
0.1088,3.16E-01,1194.6071,24
0.11,2.84E-01,1196.0558,24
0.1112,2.56E-01,1197.1052,24
0.1124,2.30E-01,1197.8667,24
0.1136,2.08E-01,1198.4209,24
0.1148,1.89E-01,1198.8257,24
0.116,1.71E-01,1199.1226,24
0.1172,1.56E-01,1199.3414,24
0.1184,1.42E-01,1199.5032,24
0.1196,1.29E-01,1199.6236,24
0.1208,1.18E-01,1199.7135,24
0.122,1.08E-01,1199.7809,24
0.1232,9.90E-02,1199.8318,24
0.1244,9.09E-02,1199.8703,24
0.1256,8.36E-02,1199.8996,24
0.1268,7.70E-02,1199.9219,24
0.128,7.10E-02,1199.9391,24
0.1292,6.56E-02,1199.9523,24
1.30E-01,6.06E-02,1199.9625,24
1.32E-01,5.61E-02,1199.9704,24
1.33E-01,0.05204,1199.9766,24
1.34E-01,0.0483,1199.9814,24
1.35E-01,0.04487,1199.9852,24
1.36E-01,0.04173,1199.9881,24
0.1376,0.03885,1199.9905,24
0.1388,0.03621,1199.9923,24
0.14,0.03377,1199.9938,24
0.1412,0.03153,1199.995,24
0.1424,0.02947,1199.9959,24
0.1436,0.02756,1199.9967,24
0.1448,0.02579,1199.9973,24
0.146,0.02416,1199.9978,24
0.1472,0.02265,1199.9982,24
0.1484,0.02124,1199.9985,24
0.1496,0.01993,1199.9988,24
0.1508,0.01871,1199.999,24
0.152,0.01756,1199.9992,24
0.1532,0.01646,1199.9993,24
0.1544,0.01539,1199.9994,24
0.1556,0.01432,1199.9995,24
0.1568,0.0132,1199.9996,24
0.158,0.01202,1199.9997,24
0.1592,0.01075,1199.9997,24
0.1604,0.0094,1199.9998,24
0.1616,0.00803,1199.9998,24
0.1628,0.00672,1199.9998,24
0.164,0.00553,1199.9999,24
0.1652,0.00452,1199.9999,24
0.1664,0.00365,1199.9999,24
0.1676,0.00297,1199.9999,24
0.1688,0.00244,1199.9999,24
0.17,0.00203,1199.9999,24
0.1712,0.0017,1199.9999,24
0.1724,0.00143,1200,24
0.1736,0.00121,1200,24
0.1748,0.00104,1200,24
0.176,8.87E-04,1200,24
0.1772,7.61E-04,1200,24
0.1784,6.54E-04,1200,24
0.1796,5.62E-04,1200,24
0.1808,4.83E-04,1200,24
0.182,4.15E-04,1200,24
0.1832,3.55E-04,1200,24
0.1844,3.03E-04,1200,24
0.1856,2.58E-04,1200,24
0.1868,2.18E-04,1200,24
0.188,1.83E-04,1200,24
0.1892,1.52E-04,1200,24
0.1904,1.25E-04,1200,24
0.1916,1.02E-04,1200,24
0.1928,8.09E-05,1200,24
0.194,6.27E-05,1200,24
0.1952,4.67E-05,1200,24
0.1964,3.28E-05,1200,24
0.1976,2.06E-05,1200,24
0.1988,9.99E-06,1200,24
0.2,7.67E-07,1200,24
0.2012,-7.23E-06,1200,24
0.2024,-1.41E-05,1200,24
0.2036,-2.01E-05,1200,24
0.2048,-2.52E-05,1200,24
0.206,-2.95E-05,1200,24
0.2072,-3.32E-05,1200,24
0.2084,-3.63E-05,1200,24
0.2096,-3.89E-05,1200,24
0.2108,-4.10E-05,1200,24
0.212,-4.27E-05,1200,24
0.2132,-4.41E-05,1200,24
0.2144,-4.52E-05,1200,24
0.2156,-4.60E-05,1200,24
0.2168,-4.66E-05,1200,24
0.218,-4.69E-05,1200,24
0.2192,-4.72E-05,1200,24
0.2204,-4.72E-05,1200,24
0.2216,-4.72E-05,1200,24
0.2228,-4.70E-05,1200,24
