Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.74314,1.02283,1.08126,1.21449,0.44643,0.01958,0.31281,0.26679,1.20733,0.71677,0.2532,0.90576,1.05238,0.29216,0.34191,0.25319,1.16323,0.2788,0.94047,1.96255,0.74065,0.79092,0.70349,0.55629,0.46527,0.31512,0.16373,0.61925,0.00774,26
0.74571,0.98353,1.03999,1.23999,0.38701,0.01849,0.30169,0.2588,1.233,0.69852,0.24741,0.89372,1.05172,0.28584,0.33964,0.25007,1.15151,0.27483,0.90799,1.95236,0.73924,0.78683,0.69829,0.55128,0.46067,0.31156,0.16163,0.61019,0.01089,26
0.74829,0.91891,0.97336,1.26739,0.32761,0.0174,0.29043,0.25054,1.26059,0.68054,0.24158,0.88156,1.05106,0.27948,0.33725,0.24689,1.13953,0.27083,0.87544,1.94161,0.73768,0.78253,0.6929,0.54612,0.45595,0.30791,0.15949,0.60104,0.01549,26
0.75086,0.82386,0.87624,1.29715,0.27054,0.01634,0.27901,0.24199,1.29052,0.66301,0.23582,0.86926,1.05039,0.27318,0.33474,0.24367,1.1273,0.26689,0.84405,1.93032,0.73601,0.77803,0.68732,0.54082,0.45111,0.3042,0.15732,0.59181,0.02206,26
0.75343,0.69763,0.74791,1.32923,0.21858,0.01529,0.2674,0.23313,1.32277,0.64615,0.23023,0.85685,1.04971,0.26706,0.3321,0.24041,1.11481,0.26317,0.8153,1.91855,0.7343,0.77338,0.68158,0.53538,0.44616,0.30042,0.15513,0.58252,0.03111,26
0.756,0.54811,0.59625,1.36238,0.17451,0.01425,0.25559,0.22396,1.35608,0.63014,0.22494,0.84431,1.04903,0.26122,0.32934,0.23711,1.10207,0.25979,0.79069,1.90633,0.73259,0.7686,0.6757,0.52982,0.44111,0.29658,0.15291,0.5732,0.04303,26
0.75857,0.39362,0.43959,1.39391,0.14023,0.01324,0.24363,0.21452,1.38776,0.61508,0.22002,0.83165,1.04833,0.25575,0.32646,0.23378,1.08907,0.25686,0.77124,1.89369,0.73091,0.76372,0.66969,0.52415,0.43597,0.29268,0.15067,0.56386,0.05787,26
0.76114,0.25777,0.30155,1.42154,0.11598,0.01226,0.23162,0.2049,1.41553,0.60094,0.2155,0.81886,1.04763,0.25067,0.32345,0.23042,1.07583,0.25439,0.75713,1.88063,0.72927,0.75872,0.66354,0.51838,0.43073,0.28873,0.14841,0.55451,0.07527,26
0.76371,0.1578,0.19939,1.44564,0.10019,0.01132,0.21968,0.1952,1.43977,0.58755,0.21131,0.80596,1.04691,0.24593,0.32031,0.22703,1.06232,0.2523,0.7475,1.8671,0.72763,0.7536,0.65726,0.51248,0.4254,0.28473,0.14613,0.54513,0.09463,26
0.76629,0.09607,0.13553,1.46883,0.09031,0.01042,0.20794,0.18557,1.46308,0.5747,0.20735,0.79294,1.04619,0.2414,0.31705,0.22361,1.04856,0.25047,0.74098,1.85304,0.72591,0.7483,0.65081,0.50646,0.41996,0.28066,0.14383,0.53573,0.11534,26
0.76886,0.06295,0.10031,1.49292,0.0839,0.00958,0.19652,0.1761,1.48729,0.56219,0.20353,0.77981,1.04546,0.23701,0.31365,0.22014,1.03455,0.24877,0.73622,1.83839,0.72407,0.74279,0.64417,0.50029,0.41441,0.27652,0.14151,0.52627,0.13696,26
0.77143,0.04613,0.08145,1.51761,0.07933,0.00879,0.18548,0.16685,1.51211,0.54991,0.19976,0.76656,1.04472,0.23266,0.31013,0.21664,1.02027,0.24712,0.73229,1.82309,0.72206,0.73704,0.63732,0.49398,0.40874,0.27232,0.13916,0.51676,0.15927,26
0.774,0.03699,0.07035,1.54151,0.07571,0.00807,0.17487,0.15789,1.53613,0.53781,0.19601,0.7532,1.04397,0.22833,0.30648,0.21308,1.00573,0.24547,0.7287,1.80713,0.71984,0.73104,0.63026,0.4875,0.40295,0.26806,0.13678,0.50719,0.18211,26
0.77657,0.03121,0.06268,1.56344,0.07265,0.00741,0.1647,0.14923,1.55818,0.52586,0.19226,0.73972,1.04321,0.224,0.30271,0.20949,0.99092,0.2438,0.72521,1.79048,0.7174,0.72478,0.62298,0.48087,0.39704,0.26372,0.13437,0.49755,0.20541,26
0.77914,0.02702,0.05669,1.58278,0.06995,0.00683,0.155,0.14091,1.57764,0.51405,0.18851,0.72614,1.04245,0.21966,0.2988,0.20585,0.97586,0.2421,0.72171,1.77313,0.71472,0.71824,0.61548,0.47408,0.39101,0.25932,0.13194,0.48786,0.22911,26
0.78171,0.02376,0.05171,1.59931,0.06754,0.00634,0.14577,0.13294,1.59428,0.50235,0.18475,0.71245,1.04168,0.21531,0.29476,0.20216,0.96053,0.24037,0.71815,1.75506,0.71179,0.71142,0.60775,0.46713,0.38486,0.25484,0.12948,0.4781,0.25314,26
0.78429,0.02111,0.04742,1.61296,0.0654,0.00594,0.13702,0.12532,1.60806,0.49077,0.18098,0.69865,1.0409,0.21095,0.2906,0.19843,0.94495,0.2386,0.71448,1.73626,0.70861,0.70431,0.5998,0.46002,0.37859,0.25031,0.127,0.46829,0.27744,26
0.78686,0.01891,0.04366,1.62379,0.06356,0.00566,0.12873,0.11807,1.619,0.4793,0.1772,0.68475,1.04011,0.20657,0.2863,0.19466,0.9291,0.23679,0.71066,1.71673,0.70515,0.69691,0.59161,0.45275,0.3722,0.24571,0.1245,0.45843,0.30198,26
0.78943,0.01705,0.04033,1.63184,0.06214,0.00554,0.12091,0.11118,1.62717,0.46793,0.17341,0.67074,1.03932,0.20217,0.28188,0.19085,0.91299,0.23494,0.70669,1.69644,0.7014,0.68922,0.5832,0.44532,0.36569,0.24105,0.12197,0.44852,0.32669,26
0.792,0.01545,0.03734,1.63723,0.06139,0.00562,0.11355,0.10465,1.63266,0.45667,0.1696,0.65664,1.03852,0.19775,0.27734,0.187,0.89663,0.23305,0.70253,1.6754,0.69736,0.68122,0.57455,0.43774,0.35907,0.23632,0.11942,0.43856,0.35152,26
0.79457,0.01407,0.03465,1.64004,0.06176,0.00598,0.10662,0.09848,1.63558,0.4455,0.16578,0.64243,1.03771,0.19332,0.27267,0.18311,0.88,0.23112,0.69816,1.65359,0.69301,0.67291,0.56568,0.43,0.35233,0.23153,0.11684,0.42856,0.37645,26
0.79714,0.01286,0.03221,1.64039,0.064,0.00673,0.10011,0.09264,1.63605,0.43442,0.16195,0.62813,1.0369,0.18887,0.26787,0.17918,0.86312,0.22914,0.69357,1.63101,0.68833,0.66429,0.55656,0.4221,0.34547,0.22669,0.11425,0.41851,0.40142,26
0.79971,0.0118,0.02999,1.63841,0.06923,0.00801,0.09401,0.08713,1.63418,0.42344,0.1581,0.61373,1.03607,0.1844,0.26295,0.1752,0.84598,0.22712,0.68875,1.60764,0.68332,0.65535,0.54721,0.41405,0.33851,0.22178,0.11163,0.40842,0.42639,26
0.80229,0.01085,0.02796,1.63423,0.07899,0.01007,0.08828,0.08194,1.6301,0.41254,0.15424,0.59924,1.03524,0.17992,0.25791,0.1712,0.82859,0.22505,0.68368,1.58348,0.67795,0.64609,0.53763,0.40585,0.33143,0.21682,0.10899,0.3983,0.45133,26
0.80486,0.01001,0.02611,1.62796,0.09525,0.01322,0.08291,0.07703,1.62395,0.40174,0.15037,0.58465,1.03441,0.17541,0.25274,0.16715,0.81094,0.22293,0.67835,1.55852,0.67221,0.6365,0.52781,0.3975,0.32424,0.2118,0.10634,0.38814,0.47619,26
0.80743,0.00925,0.02441,1.61975,0.12028,0.01794,0.07788,0.0724,1.61584,0.39103,0.14648,0.56998,1.03356,0.17089,0.24746,0.16307,0.79304,0.22077,0.67274,1.53275,0.6661,0.62657,0.51775,0.38899,0.31694,0.20673,0.10367,0.37795,0.50096,26
0.81,0.00857,0.02286,1.60971,0.15644,0.02485,0.07315,0.06801,1.6059,0.38042,0.14258,0.55522,1.03271,0.16636,0.24206,0.15895,0.77489,0.21855,0.66686,1.50617,0.65958,0.6163,0.50746,0.38034,0.30954,0.20161,0.10097,0.36772,0.5256,26
0.81257,0.00795,0.02144,1.59797,0.20572,0.03482,0.06871,0.06385,1.59427,0.3699,0.13866,0.54037,1.03186,0.1618,0.23654,0.1548,0.7565,0.21628,0.66068,1.47877,0.65264,0.60569,0.49692,0.37153,0.30203,0.19643,0.09827,0.35747,0.55008,26
0.81514,0.00739,0.02015,1.58465,0.26936,0.04894,0.06453,0.05989,1.58106,0.35948,0.13473,0.52544,1.031,0.15723,0.23092,0.15062,0.73785,0.21395,0.65421,1.45055,0.64527,0.59473,0.48615,0.36259,0.29442,0.19121,0.09554,0.3472,0.57437,26
0.81771,0.00688,0.01896,1.56988,0.34734,0.06857,0.06057,0.05609,1.56639,0.34917,0.13079,0.51043,1.03013,0.15265,0.22517,0.1464,0.71896,0.21156,0.64743,1.42151,0.63745,0.58341,0.47515,0.3535,0.28671,0.18593,0.0928,0.3369,0.59845,26
0.82029,0.00641,0.01787,1.55376,0.43809,0.09528,0.0568,0.05244,1.55038,0.33896,0.12684,0.49534,1.02925,0.14804,0.21932,0.14215,0.69982,0.20912,0.64035,1.39162,0.62916,0.57173,0.4639,0.34426,0.2789,0.18061,0.09005,0.32657,0.62229,26
0.82286,0.00598,0.01686,1.53642,0.53844,0.13075,0.05319,0.04889,1.53313,0.32886,0.12288,0.48017,1.02837,0.14343,0.21337,0.13787,0.68045,0.2066,0.63297,1.36091,0.62038,0.55969,0.45242,0.33489,0.27099,0.17524,0.08728,0.31623,0.64589,26
0.82543,0.00559,0.01592,1.51796,0.64384,0.17654,0.04969,0.04542,1.51477,0.31888,0.1189,0.46493,1.02748,0.13879,0.20731,0.13356,0.66083,0.20402,0.62529,1.32935,0.61109,0.54728,0.4407,0.32539,0.26299,0.16984,0.08449,0.30586,0.66921,26
0.828,0.00523,0.01504,1.49848,0.74895,0.23385,0.04627,0.042,1.49538,0.30902,0.11491,0.44961,1.02659,0.13415,0.20114,0.12923,0.64098,0.20136,0.61731,1.29696,0.60127,0.5345,0.42875,0.31575,0.25489,0.16438,0.0817,0.29548,0.69225,26
0.83057,0.0049,0.0142,1.47807,0.8484,0.30318,0.04288,0.03862,1.47508,0.29929,0.11091,0.43423,1.02569,0.12949,0.19488,0.12486,0.62089,0.19862,0.60905,1.26373,0.59089,0.52134,0.41656,0.30597,0.24671,0.15889,0.07889,0.28509,0.71498,26
0.83314,0.00459,0.01339,1.45685,0.9375,0.38397,0.03951,0.03529,1.45395,0.2897,0.1069,0.41877,1.02479,0.12481,0.18852,0.12047,0.60057,0.19579,0.60052,1.22965,0.57993,0.50779,0.40414,0.29607,0.23844,0.15336,0.07607,0.27468,0.73739,26
0.83571,0.0043,0.0126,1.43489,1.01291,0.47442,0.03614,0.03201,1.43208,0.28025,0.10287,0.40325,1.02388,0.12012,0.18207,0.11605,0.58002,0.19286,0.59174,1.19473,0.56837,0.49385,0.39149,0.28604,0.23008,0.14779,0.07324,0.26426,0.75948,26
0.83829,0.00404,0.01184,1.41228,1.07296,0.57141,0.03279,0.02882,1.40957,0.27094,0.09884,0.38767,1.02297,0.11542,0.17552,0.11161,0.55924,0.18983,0.58275,1.15897,0.55619,0.47952,0.3786,0.27589,0.22164,0.14219,0.0704,0.25382,0.78123,26
0.84086,0.00379,0.01111,1.3891,1.11761,0.67076,0.02949,0.02577,1.38648,0.2618,0.0948,0.37203,1.02205,0.11071,0.16889,0.10714,0.53823,0.18668,0.57359,1.12237,0.54335,0.46478,0.36548,0.26561,0.21312,0.13655,0.06755,0.24338,0.80263,26
0.84343,0.00357,0.01041,1.36543,1.14815,0.76765,0.02631,0.02293,1.3629,0.25282,0.09075,0.35632,1.02113,0.10598,0.16217,0.10265,0.517,0.18339,0.56429,1.08493,0.52983,0.44964,0.35212,0.25521,0.20452,0.13087,0.06469,0.23292,0.82367,26
0.846,0.00335,0.00975,1.34134,1.16676,0.85735,0.02333,0.02037,1.3389,0.24401,0.08669,0.34056,1.0202,0.10124,0.15538,0.09814,0.49556,0.17996,0.55492,1.04666,0.5156,0.43409,0.33854,0.2447,0.19585,0.12517,0.06182,0.22246,0.84435,26
0.84857,0.00316,0.00915,1.31691,1.17599,0.93582,0.02064,0.01813,1.31455,0.23538,0.08262,0.32475,1.01927,0.09649,0.1485,0.09361,0.47389,0.17637,0.54557,1.00756,0.50063,0.41813,0.32473,0.23408,0.1871,0.11944,0.05894,0.21199,0.86466,26
