Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,temper,Electric field,Rise rate
0.044,0.14711,0.16057,0.1556,0.57307,0.00511,0.06673,0.06211,0.15435,0.12499,0.10883,0.2898,1.02495,0.12362,0.10331,0.06361,0.32027,0.16807,0.7635,0.70785,0.41951,0.30152,0.21374,0.14399,0.11175,0.06927,0.03389,0.12365,32.44518,0.03133,28
0.046,0.14733,0.16128,0.15634,0.57429,0.00476,0.06926,0.06444,0.15506,0.12763,0.11287,0.30277,1.02606,0.12833,0.10772,0.06638,0.33372,0.1704,0.76956,0.73202,0.43126,0.31182,0.22187,0.14985,0.11648,0.07228,0.03538,0.12903,32.41162,0.03131,28
0.048,0.14753,0.16198,0.15708,0.57546,0.00453,0.0719,0.06685,0.15578,0.13054,0.11691,0.31572,1.02717,0.13303,0.11209,0.06914,0.34707,0.17259,0.77583,0.75579,0.44252,0.3219,0.2299,0.15567,0.12119,0.07528,0.03686,0.1344,32.37812,0.03128,28
0.05,0.1477,0.16268,0.15784,0.57659,0.00439,0.07464,0.06935,0.1565,0.13375,0.12095,0.32864,1.02827,0.13772,0.11643,0.07189,0.36033,0.17466,0.78225,0.77914,0.45332,0.33175,0.23782,0.16145,0.12588,0.07827,0.03834,0.13978,32.34468,0.03126,28
0.052,0.14786,0.16339,0.15859,0.57769,0.00432,0.07749,0.07194,0.15722,0.13728,0.12497,0.34154,1.02938,0.14241,0.12072,0.07464,0.37348,0.17661,0.78876,0.80207,0.46366,0.34137,0.24563,0.16717,0.13054,0.08125,0.03982,0.14515,32.31132,0.03124,28
0.054,0.14801,0.1641,0.15936,0.57876,0.00432,0.08045,0.07463,0.15795,0.14115,0.12899,0.35442,1.03047,0.14708,0.12498,0.07737,0.38654,0.17846,0.79531,0.82459,0.47356,0.35077,0.25333,0.17285,0.13518,0.08423,0.0413,0.15053,32.27803,0.03122,28
0.056,0.14814,0.16482,0.16014,0.57981,0.00438,0.08352,0.07741,0.15869,0.14536,0.133,0.36727,1.03157,0.15174,0.12919,0.08009,0.39949,0.18022,0.80187,0.84669,0.48304,0.35996,0.26093,0.17849,0.13978,0.08719,0.04277,0.1559,32.24482,0.0312,28
0.058,0.14827,0.16555,0.16093,0.58085,0.00449,0.08671,0.08029,0.15943,0.14993,0.137,0.3801,1.03266,0.1564,0.13336,0.0828,0.41235,0.18189,0.8084,0.86838,0.49211,0.36894,0.26841,0.18407,0.14436,0.09015,0.04425,0.16128,32.21168,0.03118,28
0.06,0.14839,0.1663,0.16173,0.58187,0.00463,0.09003,0.08327,0.16018,0.15489,0.141,0.3929,1.03374,0.16104,0.13749,0.0855,0.4251,0.1835,0.81486,0.88965,0.50078,0.37771,0.2758,0.18961,0.14892,0.09309,0.04572,0.16665,32.17862,0.03116,28
0.062,0.1485,0.16707,0.16255,0.58288,0.00481,0.09346,0.08636,0.16095,0.16024,0.14498,0.40567,1.03483,0.16568,0.14157,0.08819,0.43776,0.18503,0.82124,0.91052,0.50907,0.38628,0.28308,0.1951,0.15344,0.09603,0.04719,0.17203,32.14563,0.03114,28
0.064,0.14861,0.16785,0.16338,0.58388,0.00502,0.09703,0.08955,0.16172,0.16599,0.14896,0.41842,1.03591,0.1703,0.1456,0.09087,0.45031,0.1865,0.82751,0.93097,0.51699,0.39464,0.29025,0.20054,0.15794,0.09896,0.04866,0.17741,32.11272,0.03112,28
0.066,0.14871,0.16865,0.16422,0.58487,0.00526,0.10073,0.09285,0.1625,0.17215,0.15293,0.43114,1.03698,0.17491,0.14959,0.09354,0.46276,0.18792,0.83365,0.95101,0.52455,0.40281,0.29732,0.20593,0.16241,0.10187,0.05013,0.18279,32.07989,0.03111,28
0.068,0.1488,0.16947,0.16508,0.58586,0.00553,0.10455,0.09625,0.16329,0.17874,0.15689,0.44383,1.03805,0.17952,0.15352,0.09619,0.47512,0.18929,0.83965,0.97064,0.53177,0.41078,0.30429,0.21127,0.16684,0.10478,0.05159,0.18817,32.04712,0.03109,28
0.07,0.1489,0.17032,0.16595,0.58684,0.00582,0.10851,0.09977,0.16409,0.18577,0.16085,0.45648,1.03912,0.18411,0.15741,0.09883,0.48737,0.19061,0.84551,0.98986,0.53866,0.41856,0.31115,0.21656,0.17125,0.10767,0.05305,0.19356,32.01443,0.03107,28
0.072,0.14898,0.17118,0.16684,0.58781,0.00613,0.11261,0.1034,0.16491,0.19324,0.16479,0.46911,1.04018,0.18869,0.16124,0.10146,0.49952,0.19189,0.8512,1.00868,0.54522,0.42615,0.31791,0.2218,0.17563,0.11055,0.05451,0.19894,31.98181,0.03106,28
0.074,0.14907,0.17206,0.16774,0.58879,0.00647,0.11685,0.10713,0.16573,0.20115,0.16872,0.4817,1.04124,0.19326,0.16503,0.10408,0.51158,0.19314,0.85672,1.0271,0.55146,0.43356,0.32456,0.227,0.17997,0.11342,0.05597,0.20433,31.94925,0.03104,28
0.076,0.14915,0.17297,0.16866,0.58977,0.00683,0.12122,0.11098,0.16657,0.20953,0.17265,0.49426,1.04229,0.19782,0.16875,0.10668,0.52353,0.19434,0.86208,1.04512,0.55741,0.44078,0.33112,0.23213,0.18428,0.11628,0.05742,0.20972,31.91677,0.03103,28
0.078,0.14924,0.1739,0.1696,0.59074,0.00721,0.12573,0.11493,0.16742,0.21837,0.17657,0.50679,1.04334,0.20237,0.17243,0.10927,0.53538,0.19552,0.86725,1.06274,0.56307,0.44783,0.33757,0.23722,0.18856,0.11913,0.05887,0.21511,31.88435,0.03101,28
0.08,0.14931,0.17485,0.17055,0.59172,0.00761,0.13038,0.11899,0.16828,0.22768,0.18047,0.51928,1.04438,0.2069,0.17605,0.11184,0.54713,0.19667,0.87225,1.07996,0.56844,0.45469,0.34392,0.24226,0.19281,0.12197,0.06032,0.22051,31.85199,0.03099,28
0.082,0.14939,0.17583,0.17152,0.5927,0.00803,0.13516,0.12316,0.16915,0.23746,0.18437,0.53174,1.04542,0.21142,0.17961,0.11441,0.55878,0.19778,0.87707,1.09679,0.57354,0.46138,0.35017,0.24724,0.19703,0.12479,0.06177,0.22591,31.8197,0.03098,28
0.084,0.14947,0.17682,0.17251,0.59369,0.00847,0.14008,0.12744,0.17003,0.24772,0.18825,0.54416,1.04646,0.21593,0.18312,0.11695,0.57033,0.19888,0.88171,1.11324,0.57838,0.4679,0.35632,0.25217,0.20121,0.1276,0.06322,0.2313,31.78747,0.03096,28
0.086,0.14955,0.17785,0.17351,0.59468,0.00894,0.14514,0.13181,0.17092,0.25846,0.19213,0.55655,1.04749,0.22043,0.18657,0.11949,0.58178,0.19995,0.88618,1.12929,0.58296,0.47425,0.36236,0.25705,0.20536,0.1304,0.06466,0.23671,31.7553,0.03095,28
0.088,0.14962,0.17889,0.17453,0.59568,0.00942,0.15033,0.13629,0.17183,0.26969,0.19599,0.5689,1.04851,0.22491,0.18996,0.122,0.59313,0.201,0.89046,1.14497,0.5873,0.48044,0.36831,0.26187,0.20947,0.13318,0.0661,0.24211,31.7232,0.03093,28
0.09,0.1497,0.17996,0.17556,0.59669,0.00992,0.15566,0.14086,0.17275,0.2814,0.19985,0.5812,1.04953,0.22938,0.1933,0.12451,0.60438,0.20202,0.89458,1.16027,0.5914,0.48646,0.37416,0.26665,0.21355,0.13595,0.06753,0.24752,31.69115,0.03091,28
0.092,0.14977,0.18105,0.17661,0.59771,0.01045,0.16111,0.14553,0.17368,0.2936,0.20369,0.59347,1.05054,0.23384,0.19657,0.12699,0.61553,0.20303,0.89852,1.17519,0.59527,0.49231,0.37992,0.27136,0.2176,0.13871,0.06897,0.25293,31.65917,0.0309,28
0.094,0.14985,0.18216,0.17768,0.59875,0.01099,0.16668,0.15028,0.17462,0.30629,0.20752,0.60571,1.05155,0.23828,0.19979,0.12947,0.62658,0.20402,0.90229,1.18974,0.59892,0.49802,0.38557,0.27603,0.2216,0.14145,0.0704,0.25834,31.62725,0.03088,28
0.096,0.14993,0.18329,0.17876,0.59979,0.01156,0.17238,0.15512,0.17557,0.31946,0.21134,0.6179,1.05255,0.24271,0.20294,0.13193,0.63753,0.205,0.9059,1.20392,0.60236,0.50356,0.39113,0.28064,0.22558,0.14418,0.07182,0.26376,31.59539,0.03086,28
0.098,0.15001,0.18445,0.17986,0.60085,0.01214,0.1782,0.16003,0.17653,0.33312,0.21515,0.63005,1.05355,0.24713,0.20604,0.13437,0.64838,0.20595,0.90935,1.21774,0.60559,0.50895,0.39659,0.28519,0.22952,0.14689,0.07325,0.26917,31.56359,0.03084,28
0.1,0.15009,0.18562,0.18097,0.60193,0.01275,0.18413,0.16502,0.1775,0.34727,0.21895,0.64215,1.05454,0.25153,0.20907,0.13679,0.65913,0.20689,0.91265,1.2312,0.60862,0.51419,0.40196,0.2897,0.23342,0.14959,0.07467,0.27459,31.53186,0.03082,28
0.102,0.15018,0.18682,0.1821,0.60302,0.01337,0.19016,0.17008,0.17848,0.36189,0.22274,0.65422,1.05553,0.25591,0.21204,0.13921,0.66978,0.20782,0.91579,1.24431,0.61146,0.51928,0.40723,0.29414,0.23729,0.15228,0.07608,0.28002,31.50018,0.0308,28
0.104,0.15026,0.18803,0.18324,0.60413,0.01402,0.1963,0.1752,0.17947,0.37699,0.22651,0.66624,1.05651,0.26028,0.21496,0.1416,0.68033,0.20873,0.91878,1.25707,0.61411,0.52423,0.4124,0.29854,0.24112,0.15494,0.0775,0.28544,31.46858,0.03078,28
0.106,0.15036,0.18927,0.1844,0.60526,0.01468,0.20254,0.18038,0.18047,0.39256,0.23028,0.67822,1.05748,0.26464,0.21781,0.14398,0.69079,0.20963,0.92164,1.26948,0.61658,0.52903,0.41748,0.30288,0.24491,0.1576,0.07891,0.29087,31.43704,0.03076,28
0.108,0.15045,0.19052,0.18556,0.60641,0.01536,0.20887,0.1856,0.18148,0.4086,0.23403,0.69015,1.05845,0.26898,0.22059,0.14634,0.70114,0.21051,0.92435,1.28155,0.61888,0.5337,0.42247,0.30716,0.24867,0.16024,0.08031,0.2963,31.40556,0.03073,28
0.11,0.15055,0.19178,0.18674,0.60758,0.01607,0.21528,0.19087,0.18249,0.42509,0.23776,0.70204,1.05942,0.27331,0.22332,0.14869,0.7114,0.21138,0.92693,1.29329,0.62102,0.53822,0.42737,0.31139,0.25239,0.16286,0.08172,0.30173,31.37415,0.03071,28
0.112,0.15065,0.19307,0.18794,0.60877,0.01679,0.22177,0.19616,0.18351,0.44203,0.24149,0.71388,1.06037,0.27762,0.22598,0.15102,0.72156,0.21224,0.92938,1.30469,0.62299,0.54261,0.43218,0.31557,0.25607,0.16547,0.08312,0.30717,31.34282,0.03068,28
0.114,0.15075,0.19436,0.18914,0.60999,0.01753,0.22833,0.20149,0.18454,0.45941,0.2452,0.72567,1.06132,0.28191,0.22858,0.15333,0.73163,0.21308,0.9317,1.31577,0.62481,0.54687,0.43689,0.31969,0.25972,0.16806,0.08451,0.31261,31.31156,0.03065,28
0.116,0.15087,0.19567,0.19035,0.61123,0.01828,0.23495,0.20684,0.18558,0.47721,0.2489,0.73742,1.06227,0.28619,0.23112,0.15563,0.74159,0.21391,0.93391,1.32653,0.62648,0.55099,0.44152,0.32375,0.26332,0.17063,0.0859,0.31805,31.28037,0.03063,28
0.118,0.15098,0.19699,0.19157,0.61249,0.01906,0.24163,0.21219,0.18661,0.49543,0.25259,0.74912,1.06321,0.29045,0.2336,0.15791,0.75147,0.21473,0.936,1.33697,0.62801,0.55499,0.44605,0.32777,0.2669,0.17319,0.08729,0.32349,31.24926,0.0306,28
0.12,0.1511,0.19833,0.1928,0.61378,0.01985,0.24835,0.21755,0.18766,0.51405,0.25626,0.76078,1.06414,0.29469,0.23602,0.16017,0.76124,0.21554,0.93798,1.3471,0.6294,0.55886,0.4505,0.33173,0.27043,0.17573,0.08868,0.32894,31.21823,0.03057,28
0.122,0.15123,0.19967,0.19403,0.6151,0.02065,0.25511,0.2229,0.1887,0.53306,0.25992,0.77238,1.06507,0.29892,0.23837,0.16241,0.77092,0.21633,0.93986,1.35693,0.63066,0.56262,0.45487,0.33563,0.27393,0.17826,0.09006,0.33439,31.18729,0.03054,28
