Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,temper,Electric field,Rise rate
0.174,0.15673,0.23271,0.22479,0.65878,0.0444,0.41789,0.33484,0.21386,1.09356,0.34975,1.05502,1.08683,0.40232,0.27953,0.21492,0.9913,0.2333,0.96377,1.52291,0.63084,0.62501,0.54149,0.41946,0.35222,0.23798,0.12438,0.47651,30.4232,0.0293,28
0.176,0.15702,0.23374,0.22578,0.66078,0.0453,0.42277,0.33735,0.21464,1.11447,0.35298,1.0651,1.08757,0.40602,0.28043,0.21672,0.99867,0.23383,0.96411,1.52655,0.63004,0.62636,0.54394,0.42207,0.35478,0.24005,0.12563,0.48198,30.39581,0.02924,28
0.178,0.15732,0.23475,0.22675,0.6628,0.0462,0.4275,0.33969,0.2154,1.1351,0.35619,1.07512,1.08831,0.4097,0.28129,0.21851,1.00597,0.23435,0.96443,1.53003,0.62921,0.62764,0.54634,0.42463,0.35731,0.2421,0.12688,0.48745,30.36859,0.02918,28
0.18,0.15762,0.23573,0.22769,0.66483,0.04708,0.43208,0.34187,0.21613,1.15541,0.35939,1.08507,1.08904,0.41336,0.28212,0.22028,1.01319,0.23486,0.96474,1.53337,0.62834,0.62888,0.54869,0.42716,0.3598,0.24414,0.12813,0.49293,30.34155,0.02911,28
0.182,0.15793,0.23668,0.22861,0.66687,0.04795,0.43651,0.34388,0.21685,1.1754,0.36256,1.09496,1.08976,0.417,0.2829,0.22204,1.02035,0.23536,0.96502,1.53656,0.62745,0.63005,0.55099,0.42965,0.36227,0.24616,0.12937,0.4984,30.31469,0.02905,28
0.184,0.15824,0.23761,0.2295,0.66894,0.04881,0.44078,0.34572,0.21755,1.19503,0.36572,1.10479,1.09048,0.42061,0.28364,0.22378,1.02743,0.23586,0.96528,1.53961,0.62653,0.63118,0.55323,0.4321,0.36471,0.24817,0.13061,0.50387,30.28801,0.02899,28
0.186,0.15855,0.2385,0.23037,0.67101,0.04966,0.4449,0.3474,0.21822,1.21429,0.36886,1.11455,1.09119,0.4242,0.28435,0.2255,1.03444,0.23635,0.96554,1.54254,0.62559,0.63226,0.55543,0.43452,0.36711,0.25016,0.13184,0.50935,30.26152,0.02893,28
0.188,0.15887,0.23938,0.23121,0.6731,0.05049,0.44887,0.34892,0.21888,1.23316,0.37197,1.12426,1.09189,0.42777,0.28502,0.22722,1.04138,0.23684,0.96577,1.54533,0.62463,0.63329,0.55759,0.43689,0.36949,0.25213,0.13307,0.51482,30.23521,0.02887,28
0.19,0.1592,0.24022,0.23203,0.6752,0.05131,0.45268,0.35028,0.21951,1.25162,0.37507,1.13389,1.09259,0.43132,0.28565,0.22892,1.04826,0.23731,0.966,1.548,0.62364,0.63427,0.55969,0.43924,0.37185,0.25409,0.13429,0.52029,30.20909,0.02881,28
0.192,0.15952,0.24103,0.23282,0.67732,0.05212,0.45633,0.35148,0.22012,1.26967,0.37815,1.14347,1.09327,0.43484,0.28625,0.2306,1.05507,0.23778,0.96622,1.55055,0.62264,0.63521,0.56175,0.44154,0.37417,0.25604,0.13551,0.52576,30.18317,0.02874,28
0.194,0.15985,0.24182,0.23359,0.67944,0.05292,0.45983,0.35252,0.22071,1.28727,0.38122,1.15297,1.09396,0.43834,0.28682,0.23227,1.06181,0.23825,0.96642,1.55299,0.62162,0.63611,0.56377,0.44382,0.37647,0.25797,0.13673,0.53123,30.15743,0.02868,28
0.196,0.16018,0.24258,0.23433,0.68158,0.0537,0.46317,0.3534,0.22128,1.30442,0.38426,1.16242,1.09463,0.44182,0.28736,0.23393,1.06849,0.23871,0.96662,1.55532,0.62059,0.63696,0.56575,0.44606,0.37874,0.25989,0.13794,0.5367,30.13189,0.02862,28
0.198,0.16052,0.24331,0.23504,0.68373,0.05446,0.46636,0.35414,0.22183,1.3211,0.38728,1.1718,1.0953,0.44527,0.28786,0.23557,1.0751,0.23916,0.96682,1.55754,0.61954,0.63778,0.56768,0.44826,0.38099,0.26179,0.13914,0.54217,30.10655,0.02855,28
0.2,0.16086,0.24401,0.23573,0.68588,0.05521,0.4694,0.35472,0.22236,1.33731,0.39028,1.18111,1.09596,0.4487,0.28833,0.2372,1.08165,0.23961,0.967,1.55966,0.61848,0.63856,0.56958,0.45044,0.38321,0.26367,0.14034,0.54764,30.0814,0.02849,28
0.202,0.1612,0.24469,0.2364,0.68805,0.05595,0.47228,0.35517,0.22287,1.35303,0.39327,1.19036,1.09661,0.4521,0.28878,0.23882,1.08814,0.24005,0.96719,1.56169,0.61741,0.63931,0.57144,0.45258,0.38541,0.26555,0.14154,0.55311,30.05645,0.02842,28
0.204,0.16155,0.24534,0.23704,0.69022,0.05667,0.47501,0.35547,0.22335,1.36826,0.39623,1.19955,1.09726,0.45549,0.2892,0.24043,1.09457,0.24049,0.96737,1.56362,0.61633,0.64002,0.57326,0.45469,0.38758,0.26741,0.14273,0.55858,30.0317,0.02836,28
0.206,0.1619,0.24597,0.23765,0.6924,0.05737,0.4776,0.35563,0.22382,1.38298,0.39917,1.20866,1.0979,0.45885,0.28959,0.24202,1.10094,0.24092,0.96755,1.56547,0.61525,0.6407,0.57505,0.45678,0.38973,0.26925,0.14392,0.56405,30.00715,0.0283,28
0.208,0.16225,0.24657,0.23824,0.69459,0.05806,0.48004,0.35566,0.22427,1.3972,0.40209,1.21772,1.09853,0.46218,0.28995,0.2436,1.10725,0.24135,0.96773,1.56723,0.61416,0.64135,0.5768,0.45883,0.39186,0.27108,0.1451,0.56952,29.98281,0.02823,28
0.21,0.1626,0.24715,0.23881,0.69679,0.05873,0.48234,0.35555,0.2247,1.41089,0.405,1.22671,1.09916,0.46549,0.29029,0.24517,1.1135,0.24177,0.96791,1.56892,0.61307,0.64197,0.57852,0.46086,0.39396,0.2729,0.14628,0.57498,29.95867,0.02817,28
0.212,0.16296,0.2477,0.23935,0.69899,0.05938,0.48449,0.35533,0.22511,1.42407,0.40788,1.23563,1.09978,0.46878,0.2906,0.24673,1.11969,0.24219,0.96809,1.57053,0.61197,0.64257,0.5802,0.46286,0.39604,0.27471,0.14745,0.58045,29.93473,0.0281,28
0.214,0.16332,0.24823,0.23987,0.7012,0.06002,0.48651,0.35498,0.22551,1.43673,0.41074,1.24448,1.10039,0.47204,0.2909,0.24827,1.12583,0.2426,0.96828,1.57207,0.61087,0.64314,0.58185,0.46483,0.3981,0.2765,0.14862,0.58591,29.911,0.02804,28
0.216,0.16368,0.24873,0.24037,0.70342,0.06065,0.4884,0.35451,0.22588,1.44886,0.41358,1.25328,1.10099,0.47528,0.29117,0.2498,1.13191,0.24302,0.96846,1.57354,0.60977,0.64368,0.58348,0.46678,0.40013,0.27828,0.14979,0.59138,29.88747,0.02797,28
0.218,0.16404,0.24922,0.24085,0.70564,0.06125,0.49015,0.35394,0.22624,1.46047,0.41641,1.262,1.10159,0.47849,0.29142,0.25133,1.13794,0.24343,0.96866,1.57494,0.60868,0.6442,0.58507,0.4687,0.40215,0.28005,0.15095,0.59685,29.86416,0.02791,28
0.22,0.16441,0.24968,0.2413,0.70787,0.06184,0.49177,0.35325,0.22659,1.47155,0.41921,1.27066,1.10219,0.48168,0.29165,0.25284,1.14391,0.24383,0.96886,1.57629,0.60758,0.6447,0.58664,0.4706,0.40415,0.28181,0.15211,0.60231,29.84105,0.02785,28
0.222,0.16478,0.25012,0.24173,0.71011,0.06242,0.49327,0.35247,0.22691,1.4821,0.42199,1.27925,1.10277,0.48485,0.29186,0.25434,1.14983,0.24423,0.96906,1.57758,0.60649,0.64518,0.58818,0.47247,0.40612,0.28355,0.15326,0.60777,29.81816,0.02778,28
0.224,0.16515,0.25055,0.24215,0.71234,0.06298,0.49465,0.35158,0.22723,1.49214,0.42475,1.28778,1.10335,0.48799,0.29205,0.25583,1.1557,0.24463,0.96928,1.57882,0.6054,0.64565,0.58969,0.47432,0.40808,0.28529,0.15441,0.61324,29.79547,0.02771,28
0.226,0.16552,0.25095,0.24254,0.71459,0.06352,0.49591,0.35061,0.22753,1.50165,0.42749,1.29624,1.10392,0.49111,0.29223,0.25731,1.16152,0.24503,0.9695,1.58001,0.60432,0.64609,0.59118,0.47615,0.41002,0.28701,0.15556,0.6187,29.773,0.02765,28
0.228,0.1659,0.25134,0.24292,0.71684,0.06405,0.49705,0.34954,0.22781,1.51066,0.4302,1.30464,1.10449,0.4942,0.29239,0.25878,1.16728,0.24543,0.96973,1.58115,0.60325,0.64652,0.59265,0.47796,0.41194,0.28872,0.1567,0.62416,29.75074,0.02758,28
0.23,0.16628,0.25171,0.24328,0.7191,0.06456,0.49809,0.34839,0.22809,1.51915,0.4329,1.31297,1.10505,0.49727,0.29253,0.26024,1.173,0.24582,0.96998,1.58225,0.60218,0.64693,0.59409,0.47974,0.41384,0.29042,0.15784,0.62963,29.7287,0.02752,28
0.232,0.16666,0.25206,0.24362,0.72136,0.06505,0.49901,0.34717,0.22835,1.52713,0.43558,1.32123,1.1056,0.50031,0.29266,0.26169,1.17867,0.24621,0.97023,1.58331,0.60112,0.64733,0.59551,0.48151,0.41572,0.29211,0.15898,0.63509,29.70687,0.02745,28
0.234,0.16704,0.2524,0.24394,0.72363,0.06553,0.49984,0.34586,0.2286,1.53462,0.43823,1.32943,1.10615,0.50333,0.29277,0.26313,1.1843,0.2466,0.9705,1.58434,0.60007,0.64772,0.59692,0.48325,0.41759,0.29379,0.16011,0.64055,29.68526,0.02739,28
0.236,0.16743,0.25272,0.24425,0.7259,0.066,0.50056,0.34449,0.22884,1.54162,0.44087,1.33756,1.10669,0.50632,0.29288,0.26456,1.18987,0.24699,0.97078,1.58533,0.59903,0.6481,0.5983,0.48498,0.41944,0.29545,0.16124,0.64601,29.66387,0.02732,28
0.238,0.16782,0.25304,0.24455,0.72818,0.06645,0.50119,0.34306,0.22907,1.54814,0.44348,1.34563,1.10722,0.50929,0.29297,0.26598,1.1954,0.24738,0.97107,1.58629,0.598,0.64847,0.59966,0.48669,0.42128,0.29711,0.16236,0.65147,29.6427,0.02726,28
0.24,0.16821,0.25333,0.24483,0.73047,0.06689,0.50173,0.34156,0.22929,1.55418,0.44607,1.35363,1.10775,0.51223,0.29305,0.2674,1.20089,0.24777,0.97138,1.58722,0.59698,0.64882,0.601,0.48838,0.4231,0.29876,0.16348,0.65693,29.62174,0.02719,28
0.242,0.1686,0.25362,0.2451,0.73276,0.06732,0.50218,0.34001,0.2295,1.55976,0.44864,1.36156,1.10827,0.51515,0.29312,0.2688,1.20633,0.24815,0.97171,1.58813,0.59597,0.64917,0.60233,0.49006,0.4249,0.3004,0.1646,0.66239,29.60101,0.02712,28
0.244,0.169,0.2539,0.24536,0.73506,0.06773,0.50255,0.3384,0.22971,1.56488,0.45119,1.36943,1.10878,0.51805,0.29318,0.2702,1.21173,0.24854,0.97205,1.58902,0.59498,0.64952,0.60364,0.49171,0.42669,0.30203,0.16572,0.66785,29.5805,0.02706,28
0.246,0.1694,0.25416,0.2456,0.73737,0.06812,0.50284,0.33675,0.22991,1.56956,0.45372,1.37723,1.10929,0.52091,0.29323,0.27159,1.21709,0.24892,0.97241,1.58989,0.594,0.64985,0.60494,0.49336,0.42847,0.30365,0.16683,0.67332,29.56022,0.02699,28
0.248,0.1698,0.25442,0.24584,0.73969,0.06851,0.50305,0.33505,0.2301,1.5738,0.45622,1.38497,1.10979,0.52376,0.29328,0.27297,1.2224,0.24931,0.97279,1.59074,0.59303,0.65019,0.60622,0.49498,0.43023,0.30526,0.16794,0.67878,29.54016,0.02692,28
0.25,0.17021,0.25467,0.24606,0.74201,0.06888,0.5032,0.33331,0.23029,1.57762,0.45871,1.39265,1.11029,0.52658,0.29331,0.27434,1.22768,0.24969,0.97318,1.59158,0.59208,0.65052,0.60749,0.4966,0.43198,0.30686,0.16904,0.68424,29.52032,0.02685,28
0.252,0.17062,0.25491,0.24628,0.74434,0.06924,0.50327,0.33154,0.23047,1.58103,0.46117,1.40025,1.11078,0.52937,0.29334,0.27571,1.23291,0.25008,0.9736,1.59241,0.59114,0.65084,0.60875,0.4982,0.43372,0.30846,0.17014,0.6897,29.50072,0.02679,28
0.254,0.17103,0.25515,0.24649,0.74668,0.06959,0.50328,0.32973,0.23065,1.58404,0.46361,1.4078,1.11126,0.53214,0.29337,0.27707,1.2381,0.25047,0.97404,1.59323,0.59022,0.65116,0.60999,0.49978,0.43545,0.31004,0.17124,0.69516,29.48135,0.02672,28
0.256,0.17145,0.25538,0.24669,0.74903,0.06992,0.50323,0.32789,0.23083,1.58666,0.46603,1.41527,1.11174,0.53488,0.29339,0.27842,1.24326,0.25086,0.97449,1.59404,0.58932,0.65149,0.61123,0.50136,0.43716,0.31162,0.17234,0.70062,29.4622,0.02665,28
0.258,0.17187,0.25561,0.24689,0.75139,0.07025,0.50313,0.32603,0.231,1.5889,0.46843,1.42269,1.11221,0.5376,0.29341,0.27976,1.24838,0.25125,0.97497,1.59485,0.58843,0.65181,0.61245,0.50292,0.43886,0.31319,0.17343,0.70608,29.44329,0.02658,28
0.26,0.17229,0.25583,0.24708,0.75376,0.07056,0.50297,0.32414,0.23117,1.59077,0.47081,1.43003,1.11267,0.54029,0.29342,0.2811,1.25346,0.25164,0.97547,1.59565,0.58757,0.65213,0.61366,0.50447,0.44055,0.31475,0.17452,0.71154,29.42462,0.02651,28
0.262,0.17272,0.25605,0.24727,0.75613,0.07087,0.50277,0.32224,0.23134,1.5923,0.47317,1.43732,1.11313,0.54296,0.29343,0.28243,1.2585,0.25203,0.976,1.59646,0.58671,0.65245,0.61487,0.50601,0.44223,0.31631,0.17561,0.717,29.40618,0.02644,28
0.264,0.17316,0.25627,0.24745,0.75852,0.07116,0.50252,0.32031,0.23152,1.59349,0.4755,1.44454,1.11359,0.54561,0.29343,0.28375,1.26351,0.25242,0.97655,1.59726,0.58588,0.65278,0.61607,0.50754,0.4439,0.31786,0.1767,0.72246,29.38798,0.02637,28
0.266,0.17359,0.25649,0.24763,0.76092,0.07145,0.50223,0.31837,0.23169,1.59435,0.47781,1.45169,1.11404,0.54822,0.29344,0.28507,1.26848,0.25282,0.97712,1.59807,0.58507,0.65311,0.61726,0.50906,0.44556,0.3194,0.17778,0.72792,29.37002,0.0263,28
0.268,0.17404,0.2567,0.24781,0.76334,0.07172,0.5019,0.31642,0.23186,1.5949,0.4801,1.45878,1.11448,0.55082,0.29344,0.28638,1.27342,0.25321,0.97772,1.59889,0.58427,0.65344,0.61844,0.51057,0.44721,0.32094,0.17886,0.73338,29.3523,0.02623,28
0.27,0.17448,0.25692,0.24799,0.76576,0.07199,0.50153,0.31446,0.23204,1.59514,0.48237,1.46581,1.11492,0.55338,0.29344,0.28769,1.27832,0.25361,0.97834,1.59972,0.5835,0.65377,0.61962,0.51207,0.44886,0.32246,0.17994,0.73884,29.33482,0.02616,28
0.272,0.17493,0.25714,0.24816,0.7682,0.07225,0.50114,0.31249,0.23221,1.5951,0.48462,1.47277,1.11535,0.55593,0.29345,0.28899,1.28319,0.25402,0.97899,1.60055,0.58274,0.65411,0.62079,0.51356,0.45049,0.32399,0.18101,0.7443,29.3176,0.02609,28
0.274,0.17539,0.25736,0.24834,0.77065,0.0725,0.50072,0.31052,0.23239,1.59479,0.48684,1.47967,1.11577,0.55844,0.29345,0.29029,1.28803,0.25442,0.97966,1.6014,0.582,0.65446,0.62196,0.51505,0.45212,0.3255,0.18208,0.74976,29.30062,0.02601,28
0.276,0.17585,0.25758,0.24852,0.77312,0.07275,0.50027,0.30854,0.23258,1.59421,0.48905,1.4865,1.11619,0.56094,0.29345,0.29158,1.29283,0.25483,0.98037,1.60225,0.58129,0.65481,0.62312,0.51653,0.45373,0.32701,0.18316,0.75522,29.28389,0.02594,28
0.278,0.17632,0.2578,0.2487,0.77559,0.07299,0.4998,0.30656,0.23276,1.59338,0.49123,1.49327,1.11661,0.5634,0.29346,0.29286,1.29761,0.25524,0.9811,1.60313,0.58059,0.65517,0.62428,0.518,0.45534,0.32852,0.18422,0.76068,29.26742,0.02587,28
0.28,0.17679,0.25803,0.24888,0.77809,0.07322,0.49931,0.30458,0.23296,1.59232,0.49339,1.49998,1.11702,0.56585,0.29347,0.29414,1.30235,0.25566,0.98186,1.60401,0.57992,0.65554,0.62544,0.51947,0.45695,0.33002,0.18529,0.76614,29.2512,0.02579,28
0.282,0.17727,0.25827,0.24907,0.7806,0.07345,0.49881,0.3026,0.23316,1.59103,0.49553,1.50663,1.11742,0.56826,0.29348,0.29541,1.30706,0.25607,0.98265,1.60492,0.57926,0.65591,0.62659,0.52093,0.45854,0.33151,0.18635,0.7716,29.23524,0.02572,28
0.284,0.17776,0.2585,0.24925,0.78312,0.07366,0.4983,0.30062,0.23336,1.58953,0.49765,1.51321,1.11782,0.57066,0.29349,0.29669,1.31174,0.2565,0.98347,1.60585,0.57863,0.65629,0.62774,0.52238,0.46013,0.333,0.18742,0.77706,29.21955,0.02564,28
0.286,0.17825,0.25875,0.24945,0.78567,0.07388,0.49778,0.29865,0.23357,1.58782,0.49974,1.51973,1.11821,0.57302,0.29351,0.29795,1.3164,0.25692,0.98431,1.60679,0.57802,0.65668,0.6289,0.52383,0.46172,0.33448,0.18848,0.78252,29.20411,0.02557,28
0.288,0.17874,0.259,0.24965,0.78822,0.07409,0.49725,0.29668,0.23379,1.58593,0.50181,1.52619,1.1186,0.57536,0.29353,0.29921,1.32102,0.25735,0.98519,1.60776,0.57743,0.65708,0.63005,0.52528,0.4633,0.33596,0.18953,0.78798,29.18895,0.02549,28
0.29,0.17925,0.25926,0.24985,0.7908,0.07429,0.49671,0.29472,0.23401,1.58387,0.50386,1.53258,1.11898,0.57768,0.29356,0.30047,1.32562,0.25779,0.9861,1.60875,0.57687,0.65749,0.6312,0.52672,0.46487,0.33744,0.19059,0.79344,29.17405,0.02541,28
0.292,0.17976,0.25952,0.25006,0.7934,0.0745,0.49618,0.29277,0.23424,1.58163,0.50589,1.53892,1.11936,0.57997,0.29359,0.30172,1.33019,0.25822,0.98704,1.60977,0.57632,0.65791,0.63235,0.52816,0.46644,0.33891,0.19164,0.7989,29.15943,0.02534,28
0.294,0.18027,0.25979,0.25027,0.79601,0.07469,0.49564,0.29082,0.23448,1.57925,0.5079,1.54519,1.11973,0.58224,0.29363,0.30297,1.33473,0.25867,0.98801,1.61081,0.5758,0.65834,0.6335,0.52959,0.468,0.34037,0.1927,0.80436,29.14508,0.02526,28
0.296,0.1808,0.26007,0.2505,0.79864,0.07489,0.49511,0.28888,0.23473,1.57672,0.50989,1.55139,1.1201,0.58448,0.29367,0.30422,1.33924,0.25911,0.98902,1.61187,0.5753,0.65878,0.63466,0.53102,0.46956,0.34184,0.19375,0.80982,29.13101,0.02518,28
0.298,0.18133,0.26036,0.25073,0.80129,0.07508,0.49459,0.28696,0.23499,1.57406,0.51185,1.55754,1.12046,0.58669,0.29372,0.30546,1.34373,0.25956,0.99005,1.61296,0.57482,0.65923,0.63581,0.53245,0.47111,0.34329,0.1948,0.81527,29.11723,0.0251,28
0.3,0.18187,0.26066,0.25097,0.80397,0.07527,0.49407,0.28504,0.23526,1.57127,0.51379,1.56363,1.12082,0.58889,0.29377,0.3067,1.34819,0.26002,0.99112,1.61409,0.57436,0.6597,0.63697,0.53388,0.47266,0.34475,0.19584,0.82073,29.10373,0.02502,28
0.302,0.18242,0.26097,0.25122,0.80666,0.07545,0.49357,0.28313,0.23553,1.56838,0.51571,1.56965,1.12117,0.59105,0.29384,0.30793,1.35263,0.26048,0.99222,1.61524,0.57392,0.66017,0.63813,0.53531,0.47421,0.3462,0.19689,0.82619,29.09052,0.02494,28
0.304,0.18297,0.26129,0.25148,0.80937,0.07564,0.49307,0.28124,0.23582,1.56538,0.51761,1.57561,1.12152,0.59319,0.29391,0.30917,1.35704,0.26094,0.99335,1.61642,0.57351,0.66066,0.63929,0.53673,0.47575,0.34764,0.19793,0.83164,29.0776,0.02485,28
0.306,0.18353,0.26162,0.25174,0.81211,0.07582,0.49259,0.27936,0.23612,1.56229,0.51949,1.58152,1.12186,0.59531,0.29398,0.31039,1.36143,0.26141,0.99452,1.61763,0.57312,0.66116,0.64046,0.53815,0.47729,0.34909,0.19897,0.8371,29.06498,0.02477,28
0.308,0.18411,0.26196,0.25202,0.81487,0.076,0.49213,0.27749,0.23643,1.55912,0.52134,1.58736,1.1222,0.5974,0.29407,0.31162,1.36579,0.26189,0.99572,1.61888,0.57275,0.66168,0.64163,0.53958,0.47883,0.35053,0.20002,0.84255,29.05265,0.02469,28
0.31,0.18468,0.26231,0.25231,0.81765,0.07618,0.49168,0.27563,0.23675,1.55588,0.52317,1.59314,1.12254,0.59947,0.29416,0.31284,1.37012,0.26237,0.99695,1.62015,0.5724,0.6622,0.6428,0.541,0.48037,0.35197,0.20105,0.848,29.04063,0.0246,28
0.312,0.18527,0.26267,0.25261,0.82045,0.07636,0.49126,0.27378,0.23709,1.55257,0.52498,1.59886,1.12287,0.60151,0.29426,0.31406,1.37444,0.26285,0.99822,1.62146,0.57208,0.66274,0.64398,0.54242,0.4819,0.3534,0.20209,0.85345,29.02892,0.02452,28
0.314,0.18587,0.26305,0.25293,0.82328,0.07654,0.49086,0.27195,0.23743,1.54921,0.52677,1.60452,1.12319,0.60352,0.29438,0.31528,1.37873,0.26334,0.99952,1.62281,0.57177,0.6633,0.64516,0.54384,0.48343,0.35483,0.20313,0.8589,29.01752,0.02443,28
0.316,0.18648,0.26344,0.25325,0.82614,0.07672,0.49048,0.27013,0.23779,1.5458,0.52854,1.61012,1.12351,0.60551,0.2945,0.31649,1.383,0.26383,1.00085,1.62419,0.57149,0.66386,0.64635,0.54526,0.48496,0.35626,0.20416,0.86435,29.00643,0.02434,28
0.318,0.18709,0.26384,0.25359,0.82901,0.0769,0.49012,0.26833,0.23816,1.54235,0.53028,1.61566,1.12383,0.60748,0.29463,0.3177,1.38724,0.26433,1.00222,1.6256,0.57123,0.66445,0.64754,0.54668,0.48648,0.35769,0.2052,0.8698,28.99566,0.02426,28
0.32,0.18772,0.26426,0.25394,0.83192,0.07708,0.48979,0.26654,0.23855,1.53886,0.53201,1.62114,1.12414,0.60942,0.29477,0.31891,1.39147,0.26483,1.00363,1.62705,0.57099,0.66504,0.64874,0.54811,0.48801,0.35911,0.20623,0.87524,28.98521,0.02417,28
0.322,0.18835,0.26469,0.2543,0.83485,0.07726,0.48949,0.26476,0.23895,1.53536,0.53371,1.62656,1.12444,0.61134,0.29492,0.32012,1.39567,0.26534,1.00507,1.62854,0.57078,0.66565,0.64995,0.54953,0.48953,0.36053,0.20726,0.88069,28.97509,0.02408,28
0.324,0.189,0.26513,0.25468,0.8378,0.07744,0.48921,0.263,0.23936,1.53183,0.53539,1.63192,1.12475,0.61323,0.29508,0.32132,1.39984,0.26585,1.00654,1.63006,0.57058,0.66628,0.65116,0.55096,0.49105,0.36195,0.20829,0.88613,28.96531,0.02399,28
0.326,0.18965,0.26559,0.25507,0.84079,0.07763,0.48897,0.26125,0.23979,1.5283,0.53705,1.63722,1.12504,0.6151,0.29525,0.32253,1.404,0.26637,1.00805,1.63162,0.5704,0.66692,0.65238,0.55239,0.49257,0.36337,0.20931,0.89156,28.95585,0.0239,28
0.328,0.19032,0.26607,0.25548,0.8438,0.07781,0.48876,0.25952,0.24023,1.52476,0.53868,1.64246,1.12534,0.61694,0.29543,0.32372,1.40814,0.26689,1.00959,1.63322,0.57025,0.66757,0.6536,0.55382,0.4941,0.36479,0.21034,0.897,28.94674,0.02381,28
0.33,0.19099,0.26656,0.2559,0.84684,0.078,0.48858,0.2578,0.24068,1.52123,0.5403,1.64765,1.12563,0.61876,0.29562,0.32492,1.41225,0.26742,1.01117,1.63486,0.57012,0.66824,0.65483,0.55525,0.49562,0.3662,0.21137,0.90243,28.93797,0.02372,28
0.332,0.19168,0.26706,0.25633,0.8499,0.07818,0.48843,0.25609,0.24116,1.5177,0.54189,1.65277,1.12591,0.62055,0.29583,0.32612,1.41635,0.26796,1.01279,1.63654,0.57001,0.66892,0.65607,0.55668,0.49714,0.36761,0.21239,0.90786,28.92955,0.02362,28
0.334,0.19238,0.26758,0.25678,0.853,0.07837,0.48831,0.2544,0.24164,1.51419,0.54346,1.65784,1.12619,0.62232,0.29604,0.32731,1.42042,0.2685,1.01444,1.63826,0.56992,0.66962,0.65731,0.55812,0.49865,0.36902,0.21341,0.91329,28.92148,0.02353,28
0.336,0.19309,0.26812,0.25725,0.85612,0.07857,0.48823,0.25273,0.24215,1.51071,0.54501,1.66284,1.12647,0.62406,0.29627,0.3285,1.42448,0.26904,1.01613,1.64001,0.56985,0.67034,0.65857,0.55956,0.50017,0.37043,0.21443,0.91871,28.91377,0.02343,28
0.338,0.19381,0.26867,0.25774,0.85928,0.07876,0.48819,0.25107,0.24267,1.50724,0.54654,1.66779,1.12674,0.62578,0.29651,0.32969,1.42851,0.26959,1.01785,1.64181,0.5698,0.67107,0.65983,0.561,0.50169,0.37184,0.21545,0.92413,28.90642,0.02334,28
0.34,0.19454,0.26924,0.25824,0.86246,0.07896,0.48818,0.24943,0.2432,1.50381,0.54804,1.67268,1.12701,0.62747,0.29677,0.33088,1.43252,0.27015,1.01961,1.64365,0.56978,0.67182,0.6611,0.56245,0.50321,0.37324,0.21647,0.92955,28.89944,0.02324,28
0.342,0.19529,0.26983,0.25876,0.86568,0.07915,0.4882,0.2478,0.24375,1.50041,0.54952,1.67751,1.12728,0.62914,0.29703,0.33206,1.43652,0.27071,1.0214,1.64552,0.56977,0.67258,0.66238,0.5639,0.50473,0.37465,0.21749,0.93496,28.89283,0.02314,28
0.344,0.19604,0.27044,0.25929,0.86893,0.07935,0.48827,0.24618,0.24432,1.49706,0.55098,1.68229,1.12754,0.63079,0.29731,0.33325,1.44049,0.27128,1.02324,1.64744,0.56978,0.67336,0.66366,0.56535,0.50625,0.37605,0.2185,0.94036,28.8866,0.02305,28
0.346,0.19681,0.27106,0.25985,0.87221,0.07956,0.48837,0.24459,0.24491,1.49375,0.55242,1.687,1.12779,0.63241,0.2976,0.33443,1.44445,0.27185,1.0251,1.6494,0.56982,0.67415,0.66495,0.56681,0.50778,0.37745,0.21952,0.94577,28.88074,0.02295,28
0.348,0.19759,0.2717,0.26042,0.87552,0.07977,0.48851,0.243,0.24551,1.49048,0.55384,1.69166,1.12805,0.634,0.2979,0.33561,1.44838,0.27243,1.02701,1.6514,0.56988,0.67496,0.66626,0.56827,0.5093,0.37885,0.22053,0.95116,28.87528,0.02285,28
0.35,0.19839,0.27236,0.26101,0.87886,0.07997,0.48868,0.24144,0.24613,1.48728,0.55524,1.69626,1.1283,0.63558,0.29822,0.33679,1.4523,0.27301,1.02895,1.65345,0.56995,0.67579,0.66757,0.56973,0.51082,0.38025,0.22154,0.95655,28.87021,0.02275,28
0.352,0.19919,0.27303,0.26162,0.88224,0.08019,0.4889,0.23989,0.24677,1.48412,0.55661,1.7008,1.12854,0.63712,0.29855,0.33796,1.4562,0.2736,1.03093,1.65553,0.57005,0.67663,0.66889,0.5712,0.51234,0.38165,0.22255,0.96194,28.86553,0.02265,28
0.354,0.20001,0.27373,0.26224,0.88565,0.0804,0.48915,0.23836,0.24743,1.48103,0.55796,1.70529,1.12878,0.63864,0.29889,0.33914,1.46008,0.27419,1.03295,1.65766,0.57016,0.67749,0.67022,0.57267,0.51387,0.38304,0.22356,0.96732,28.86125,0.02254,28
