Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.381,0.15667,0.22484,0.21228,0.51043,0.05125,0.4543,0.22179,0.20234,0.9941,0.38107,1.22679,1.06227,0.43615,0.21466,0.25111,1.2195,0.21515,0.77171,1.40877,0.52067,0.57792,0.55158,0.45438,0.39695,0.27904,0.1494,0.57798,0.02054,20
0.384,0.15789,0.22598,0.21337,0.51309,0.05148,0.45532,0.22,0.20346,0.99128,0.38207,1.23045,1.06238,0.4373,0.21518,0.2523,1.22363,0.21583,0.77359,1.41208,0.52113,0.57925,0.55331,0.45615,0.39867,0.28048,0.15032,0.58223,0.02036,20
0.387,0.15913,0.22717,0.2145,0.51577,0.05171,0.45642,0.21826,0.20462,0.98861,0.38305,1.23403,1.06249,0.4384,0.21573,0.25348,1.22773,0.21652,0.77551,1.41547,0.52162,0.58061,0.55506,0.45792,0.40039,0.28192,0.15125,0.58647,0.02019,20
0.39,0.1604,0.22839,0.21567,0.51848,0.05195,0.4576,0.21658,0.20581,0.98608,0.38399,1.23751,1.06259,0.43947,0.2163,0.25467,1.23179,0.21722,0.77749,1.41894,0.52216,0.582,0.55683,0.45971,0.40212,0.28336,0.15216,0.59069,0.02001,20
0.393,0.1617,0.22966,0.21689,0.52122,0.05219,0.45886,0.21495,0.20705,0.98371,0.3849,1.2409,1.06269,0.44049,0.2169,0.25584,1.23582,0.21793,0.77952,1.4225,0.52273,0.58342,0.55862,0.4615,0.40384,0.28479,0.15308,0.5949,0.01984,20
0.396,0.16303,0.23096,0.21814,0.52398,0.05244,0.4602,0.21339,0.20833,0.98149,0.38577,1.2442,1.06278,0.44148,0.21751,0.25702,1.23981,0.21864,0.78159,1.42615,0.52334,0.58488,0.56042,0.4633,0.40557,0.28622,0.15399,0.59908,0.01966,20
0.399,0.16438,0.23231,0.21945,0.52678,0.05269,0.46161,0.2119,0.20965,0.97942,0.38661,1.24741,1.06287,0.44243,0.21815,0.25818,1.24377,0.21937,0.78372,1.42987,0.52399,0.58636,0.56225,0.46511,0.4073,0.28765,0.1549,0.60325,0.01948,20
0.402,0.16577,0.23371,0.22079,0.5296,0.05295,0.46308,0.21047,0.21102,0.97752,0.38741,1.25053,1.06296,0.44334,0.21881,0.25935,1.24769,0.2201,0.7859,1.43368,0.52467,0.58788,0.56409,0.46693,0.40904,0.28908,0.1558,0.6074,0.0193,20
0.405,0.16718,0.23514,0.22218,0.53245,0.0532,0.46463,0.2091,0.21242,0.97578,0.38818,1.25355,1.06305,0.44422,0.2195,0.26051,1.25158,0.22085,0.78813,1.43757,0.5254,0.58943,0.56595,0.46876,0.41077,0.2905,0.1567,0.61153,0.01912,20
0.408,0.16863,0.23662,0.22362,0.53533,0.05346,0.46624,0.20781,0.21387,0.9742,0.38891,1.25649,1.06313,0.44505,0.22021,0.26166,1.25543,0.2216,0.79041,1.44155,0.52616,0.59101,0.56783,0.47059,0.41251,0.29192,0.1576,0.61563,0.01894,20
0.411,0.1701,0.23815,0.2251,0.53824,0.05373,0.46791,0.20658,0.21537,0.97278,0.38961,1.25933,1.06321,0.44584,0.22094,0.26281,1.25924,0.22236,0.79274,1.4456,0.52695,0.59263,0.56973,0.47244,0.41425,0.29334,0.15849,0.61971,0.01876,20
0.414,0.17161,0.23972,0.22663,0.54118,0.05399,0.46963,0.20543,0.21691,0.97152,0.39028,1.26208,1.06329,0.4466,0.2217,0.26395,1.26302,0.22314,0.79512,1.44974,0.52779,0.59427,0.57165,0.47429,0.41599,0.29475,0.15938,0.62377,0.01858,20
0.417,0.17316,0.24133,0.2282,0.54415,0.05426,0.47142,0.20435,0.2185,0.97043,0.39091,1.26473,1.06337,0.44732,0.22248,0.26508,1.26677,0.22391,0.79755,1.45396,0.52866,0.59594,0.57358,0.47615,0.41773,0.29616,0.16027,0.62781,0.01839,20
0.42,0.17473,0.24299,0.22983,0.54715,0.05452,0.47325,0.20335,0.22013,0.96951,0.3915,1.2673,1.06344,0.44799,0.22328,0.26621,1.27047,0.2247,0.80002,1.45826,0.52956,0.59765,0.57553,0.47802,0.41947,0.29757,0.16115,0.63181,0.01821,20
0.423,0.17634,0.2447,0.2315,0.55018,0.05479,0.47513,0.20243,0.22182,0.96874,0.39206,1.26977,1.06351,0.44863,0.2241,0.26733,1.27414,0.2255,0.80255,1.46264,0.5305,0.59938,0.5775,0.4799,0.42122,0.29897,0.16202,0.63579,0.01803,20
0.426,0.17799,0.24646,0.23323,0.55323,0.05506,0.47706,0.20158,0.22355,0.96814,0.39259,1.27214,1.06357,0.44923,0.22495,0.26845,1.27777,0.22631,0.80512,1.46709,0.53148,0.60115,0.57949,0.48178,0.42296,0.30037,0.16289,0.63974,0.01784,20
0.429,0.17967,0.24827,0.235,0.55632,0.05532,0.47903,0.20081,0.22533,0.96769,0.39308,1.27442,1.06364,0.44979,0.22582,0.26956,1.28136,0.22712,0.80774,1.47163,0.53249,0.60294,0.58149,0.48367,0.42471,0.30176,0.16376,0.64366,0.01765,20
0.432,0.18139,0.25013,0.23683,0.55944,0.05559,0.48105,0.20013,0.22715,0.9674,0.39354,1.27661,1.0637,0.45032,0.22672,0.27066,1.28491,0.22794,0.81041,1.47624,0.53353,0.60477,0.58351,0.48557,0.42645,0.30315,0.16462,0.64754,0.01747,20
0.435,0.18315,0.25203,0.23871,0.56259,0.05586,0.48309,0.19953,0.22903,0.96726,0.39396,1.2787,1.06375,0.4508,0.22764,0.27176,1.28842,0.22877,0.81313,1.48094,0.53461,0.60662,0.58555,0.48748,0.42819,0.30453,0.16547,0.65139,0.01728,20
0.438,0.18495,0.25399,0.24064,0.56577,0.05612,0.48517,0.19901,0.23096,0.96728,0.39435,1.2807,1.06381,0.45124,0.22858,0.27284,1.29189,0.22961,0.81589,1.4857,0.53572,0.6085,0.5876,0.48939,0.42994,0.3059,0.16632,0.65521,0.01709,20
0.441,0.18679,0.256,0.24262,0.56898,0.05638,0.48729,0.19857,0.23295,0.96745,0.3947,1.2826,1.06386,0.45165,0.22954,0.27392,1.29532,0.23046,0.8187,1.49055,0.53687,0.61041,0.58967,0.49131,0.43168,0.30727,0.16716,0.65899,0.01691,20
0.444,0.18866,0.25806,0.24466,0.57222,0.05664,0.48943,0.19823,0.23498,0.96776,0.39502,1.28441,1.06391,0.45201,0.23052,0.27499,1.2987,0.23131,0.82155,1.49547,0.53805,0.61235,0.59176,0.49323,0.43342,0.30864,0.16799,0.66273,0.01672,20
0.447,0.19058,0.26017,0.24675,0.57548,0.0569,0.49159,0.19796,0.23707,0.96822,0.39531,1.28612,1.06395,0.45234,0.23153,0.27605,1.30205,0.23217,0.82446,1.50046,0.53926,0.61431,0.59386,0.49516,0.43516,0.31,0.16882,0.66643,0.01653,20
0.45,0.19255,0.26234,0.2489,0.57878,0.05715,0.49377,0.19779,0.23922,0.96881,0.39555,1.28773,1.06399,0.45263,0.23256,0.2771,1.30534,0.23304,0.8274,1.50553,0.5405,0.61631,0.59597,0.4971,0.4369,0.31135,0.16964,0.67009,0.01634,20
0.453,0.19456,0.26456,0.25111,0.58211,0.0574,0.49598,0.1977,0.24141,0.96954,0.39577,1.28924,1.06403,0.45287,0.23361,0.27814,1.3086,0.23392,0.8304,1.51067,0.54178,0.61833,0.5981,0.49903,0.43864,0.31269,0.17045,0.67371,0.01615,20
0.456,0.19661,0.26684,0.25337,0.58546,0.05765,0.4982,0.19771,0.24367,0.9704,0.39595,1.29065,1.06407,0.45308,0.23468,0.27917,1.31181,0.2348,0.83343,1.51589,0.54309,0.62038,0.60024,0.50098,0.44037,0.31403,0.17126,0.67728,0.01596,20
0.459,0.19871,0.26918,0.2557,0.58885,0.05789,0.50043,0.1978,0.24598,0.97139,0.39609,1.29197,1.0641,0.45325,0.23578,0.28019,1.31497,0.23569,0.83652,1.52117,0.54443,0.62245,0.6024,0.50292,0.4421,0.31535,0.17205,0.68081,0.01577,20
