Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.00243,0.03428,0.04011,0.02168,0.23358,0.3005,0.02864,0.02431,0.02067,0.10032,0.00898,0.01461,1.00102,0.00972,0.00502,0.00329,0.01736,0.02321,0.20138,0.05554,0.03299,0.02096,0.0135,0.00842,0.00609,0.0036,0.00173,0.00654,0.0323,24
0.00486,0.05859,0.06487,0.04887,0.29123,0.22596,0.03088,0.02676,0.04786,0.10044,0.01671,0.02823,1.00204,0.01813,0.00994,0.00646,0.03461,0.04228,0.34118,0.10644,0.06418,0.04087,0.02639,0.0165,0.01198,0.00708,0.00338,0.01259,0.03211,24
0.0073,0.07642,0.08312,0.07364,0.33529,0.17012,0.03289,0.02902,0.07264,0.10052,0.0233,0.04184,1.00305,0.02538,0.01485,0.00956,0.05173,0.05835,0.44329,0.15395,0.0938,0.0599,0.03881,0.02432,0.01773,0.01048,0.00499,0.01839,0.03202,24
0.00973,0.08951,0.0966,0.0921,0.36788,0.12818,0.03478,0.03115,0.09109,0.10079,0.02908,0.05544,1.00407,0.03182,0.01975,0.01261,0.06874,0.07209,0.51736,0.19851,0.12204,0.07821,0.05084,0.03194,0.02337,0.01382,0.00656,0.024,0.032,24
0.01216,0.0991,0.10657,0.10451,0.3915,0.09672,0.03663,0.03317,0.1035,0.10128,0.03432,0.06904,1.00509,0.03773,0.02465,0.01564,0.08562,0.08396,0.57014,0.24053,0.14904,0.09587,0.06254,0.03939,0.02893,0.01712,0.00811,0.02949,0.03201,24
0.01459,0.1061,0.11394,0.11253,0.40844,0.07313,0.03848,0.03514,0.11151,0.1019,0.03919,0.08264,1.00611,0.04328,0.02953,0.01865,0.10238,0.09428,0.60673,0.28033,0.17489,0.11296,0.07395,0.0467,0.03441,0.02039,0.00964,0.03488,0.03203,24
0.01703,0.11119,0.11941,0.11773,0.42059,0.05544,0.04036,0.0371,0.11671,0.10257,0.04382,0.09622,1.00713,0.04858,0.0344,0.02164,0.11901,0.10332,0.63112,0.3182,0.19966,0.12952,0.08511,0.0539,0.03983,0.02362,0.01116,0.04019,0.03205,24
0.01946,0.1149,0.1235,0.12123,0.42934,0.04217,0.04229,0.03906,0.1202,0.10323,0.04829,0.10979,1.00815,0.05372,0.03925,0.02462,0.13552,0.11129,0.6465,0.35441,0.22339,0.1456,0.09604,0.06099,0.04521,0.02683,0.01267,0.04545,0.03206,24
0.02189,0.11759,0.1266,0.12369,0.43572,0.03221,0.04429,0.04105,0.12265,0.10386,0.05265,0.12336,1.00916,0.05875,0.04408,0.02758,0.1519,0.11833,0.65543,0.38918,0.24611,0.16121,0.10675,0.06799,0.05054,0.03003,0.01417,0.05067,0.03206,24
0.02432,0.11956,0.12897,0.12552,0.44047,0.02473,0.04636,0.04308,0.12448,0.10446,0.05693,0.13691,1.01018,0.06371,0.04889,0.03054,0.16814,0.12459,0.66005,0.42271,0.26785,0.17637,0.11726,0.07491,0.05583,0.0332,0.01567,0.05586,0.03206,24
0.02676,0.121,0.13084,0.12697,0.44408,0.01911,0.04851,0.04517,0.12592,0.10505,0.06115,0.15044,1.01119,0.06861,0.05368,0.03348,0.18426,0.13017,0.66218,0.45521,0.28863,0.19111,0.12758,0.08174,0.06109,0.03637,0.01715,0.06103,0.03205,24
0.02919,0.12207,0.13234,0.12817,0.44689,0.01489,0.05076,0.04732,0.12711,0.10568,0.06534,0.16396,1.0122,0.07347,0.05843,0.03642,0.20023,0.13517,0.66338,0.48684,0.30846,0.20543,0.13772,0.08851,0.06631,0.03952,0.01864,0.06618,0.03203,24
0.03162,0.12287,0.13359,0.12921,0.44916,0.01173,0.0531,0.04954,0.12815,0.10637,0.0695,0.17747,1.0132,0.0783,0.06316,0.03935,0.21606,0.13965,0.66494,0.51774,0.32735,0.21934,0.14769,0.0952,0.0715,0.04266,0.02012,0.07131,0.03201,24
0.03405,0.12347,0.13467,0.13017,0.45103,0.00937,0.05554,0.05184,0.12909,0.10718,0.07364,0.19095,1.0142,0.08311,0.06786,0.04227,0.23174,0.14369,0.66768,0.54804,0.34533,0.23286,0.15748,0.10184,0.07666,0.04579,0.02159,0.07644,0.03199,24
0.03649,0.12393,0.13563,0.13106,0.45262,0.00762,0.0581,0.05424,0.12997,0.10814,0.07777,0.20442,1.01521,0.08791,0.07253,0.04518,0.24729,0.14734,0.67163,0.57775,0.36243,0.246,0.16711,0.10841,0.08179,0.04891,0.02307,0.08156,0.03196,24
0.03892,0.1243,0.13651,0.13191,0.45403,0.00633,0.06077,0.05673,0.13082,0.10931,0.08188,0.21786,1.0162,0.09268,0.07716,0.04808,0.26269,0.15065,0.67657,0.60687,0.37869,0.25876,0.17658,0.11492,0.08689,0.05202,0.02454,0.08668,0.03194,24
0.04135,0.12458,0.13733,0.13275,0.45529,0.00539,0.06356,0.05933,0.13164,0.11072,0.08598,0.23128,1.0172,0.09745,0.08175,0.05097,0.27795,0.15366,0.68232,0.63541,0.39414,0.27117,0.18589,0.12136,0.09196,0.05512,0.02601,0.09179,0.03192,24
0.04378,0.12482,0.13813,0.13358,0.45645,0.00473,0.06649,0.06203,0.13246,0.11241,0.09007,0.24468,1.01819,0.10221,0.0863,0.05386,0.29306,0.15641,0.68867,0.66335,0.40882,0.28322,0.19504,0.12774,0.097,0.05821,0.02748,0.09689,0.03189,24
0.04622,0.12502,0.13892,0.13441,0.45754,0.00427,0.06955,0.06486,0.13327,0.11443,0.09415,0.25805,1.01918,0.10695,0.09081,0.05673,0.30804,0.15894,0.69547,0.69071,0.42276,0.29494,0.20403,0.13406,0.10201,0.06129,0.02894,0.102,0.03187,24
0.04865,0.12518,0.1397,0.13525,0.45858,0.00398,0.07275,0.0678,0.13408,0.1168,0.09823,0.2714,1.02016,0.11169,0.09528,0.05959,0.32287,0.16126,0.7026,0.71747,0.43599,0.30632,0.21288,0.14032,0.10699,0.06436,0.03041,0.1071,0.03185,24
0.05108,0.12532,0.14049,0.13609,0.45958,0.00381,0.07611,0.07087,0.1349,0.11957,0.10229,0.28472,1.02114,0.11641,0.0997,0.06243,0.33756,0.16341,0.70993,0.74364,0.44854,0.31737,0.22157,0.14651,0.11193,0.06742,0.03187,0.11219,0.03183,24
0.05351,0.12545,0.14128,0.13695,0.46055,0.00375,0.07962,0.07408,0.13572,0.12276,0.10634,0.29801,1.02212,0.12112,0.10407,0.06527,0.35211,0.1654,0.71736,0.76923,0.46043,0.32812,0.23011,0.15264,0.11684,0.07047,0.03332,0.11729,0.03181,24
0.05595,0.12556,0.1421,0.13782,0.4615,0.00376,0.0833,0.07743,0.13656,0.12639,0.11039,0.31127,1.02309,0.12582,0.10839,0.06809,0.36651,0.16726,0.72483,0.79422,0.4717,0.33855,0.2385,0.15871,0.12171,0.07351,0.03478,0.12238,0.03179,24
0.05838,0.12566,0.14294,0.13871,0.46243,0.00384,0.08715,0.08091,0.13741,0.1305,0.11443,0.32449,1.02406,0.13051,0.11266,0.0709,0.38078,0.169,0.73226,0.81862,0.48238,0.34868,0.24674,0.16471,0.12655,0.07653,0.03623,0.12747,0.03177,24
0.06081,0.12576,0.1438,0.13962,0.46335,0.00397,0.09117,0.08455,0.13827,0.13511,0.11845,0.33769,1.02503,0.13519,0.11687,0.0737,0.3949,0.17064,0.7396,0.84244,0.49247,0.35851,0.25483,0.17065,0.13135,0.07954,0.03768,0.13255,0.03176,24
0.06324,0.12584,0.14468,0.14054,0.46425,0.00415,0.09537,0.08834,0.13914,0.14023,0.12247,0.35085,1.02598,0.13986,0.12103,0.07648,0.40889,0.17218,0.74681,0.86567,0.50202,0.36805,0.26278,0.17652,0.13612,0.08254,0.03913,0.13764,0.03174,24
0.06568,0.12592,0.14559,0.14149,0.46516,0.00437,0.09975,0.09227,0.14003,0.14589,0.12648,0.36397,1.02694,0.14451,0.12513,0.07924,0.42273,0.17364,0.75385,0.88832,0.51104,0.37732,0.27059,0.18232,0.14084,0.08553,0.04057,0.14272,0.03172,24
0.06811,0.126,0.14654,0.14245,0.46605,0.00463,0.10432,0.09637,0.14093,0.15209,0.13047,0.37706,1.02789,0.14915,0.12917,0.082,0.43643,0.17503,0.7607,0.91039,0.51954,0.3863,0.27825,0.18806,0.14553,0.0885,0.04201,0.14781,0.03171,24
0.07054,0.12607,0.14751,0.14344,0.46695,0.00492,0.10909,0.10062,0.14185,0.15885,0.13446,0.39011,1.02884,0.15378,0.13315,0.08473,0.45,0.17635,0.76733,0.93189,0.52757,0.39501,0.28576,0.19373,0.15018,0.09146,0.04345,0.15289,0.03169,24
