Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.84,0.00301,0.01139,0.75555,0.52516,0.21211,0.04007,0.03632,0.75368,0.18678,0.07374,0.29879,1.01458,0.08593,0.12958,0.08644,0.47755,0.17321,0.5634,1.02988,0.52949,0.42876,0.32443,0.22767,0.17798,0.10928,0.0514,0.17553,0.70185,18
0.843,0.00285,0.01078,0.73883,0.62648,0.2813,0.037,0.03323,0.73706,0.17771,0.07011,0.28429,1.01388,0.08171,0.12362,0.08227,0.45603,0.17008,0.55343,0.99107,0.51463,0.41298,0.31096,0.21749,0.16974,0.10407,0.04891,0.16692,0.71507,18
0.846,0.00269,0.01018,0.72213,0.72495,0.36367,0.0339,0.03014,0.72044,0.16903,0.06648,0.26973,1.01318,0.07748,0.11758,0.07808,0.43424,0.16676,0.54337,0.95122,0.49883,0.39669,0.2972,0.20718,0.16142,0.09883,0.0464,0.1583,0.72799,18
0.849,0.00254,0.0096,0.70548,0.81483,0.45724,0.03074,0.02708,0.70387,0.16073,0.06283,0.25511,1.01247,0.07324,0.11146,0.07386,0.41218,0.16323,0.53333,0.91033,0.48205,0.37986,0.28317,0.19673,0.15302,0.09355,0.04389,0.14967,0.74063,18
0.852,0.0024,0.00902,0.6889,0.89159,0.55814,0.02756,0.02408,0.68737,0.15284,0.05918,0.24044,1.01176,0.06898,0.10528,0.06962,0.38986,0.15945,0.52348,0.8684,0.46423,0.36249,0.26886,0.18616,0.14455,0.08825,0.04137,0.14102,0.75297,18
0.855,0.00227,0.00845,0.67242,0.95265,0.66087,0.02442,0.02124,0.67097,0.14537,0.05552,0.22572,1.01104,0.06472,0.09903,0.06537,0.36728,0.15539,0.51399,0.82544,0.44533,0.34457,0.25427,0.17546,0.136,0.08291,0.03884,0.13237,0.76503,18
0.858,0.00215,0.00791,0.65607,0.99757,0.75905,0.02143,0.01865,0.65469,0.13832,0.05185,0.21095,1.01032,0.06045,0.09272,0.0611,0.34443,0.15098,0.50512,0.78146,0.42529,0.32608,0.2394,0.16464,0.12738,0.07755,0.0363,0.1237,0.7768,18
0.861,0.00204,0.00742,0.63987,1.02776,0.84656,0.01869,0.01639,0.63855,0.13171,0.04818,0.19614,1.0096,0.05616,0.08635,0.05681,0.32133,0.14619,0.49716,0.73647,0.40405,0.30701,0.22425,0.15369,0.11869,0.07217,0.03376,0.11502,0.78829,18
0.864,0.00193,0.00698,0.62383,1.04581,0.9187,0.01633,0.01452,0.62257,0.12554,0.04449,0.18129,1.00888,0.05187,0.07992,0.0525,0.29797,0.14095,0.49049,0.69049,0.38154,0.28735,0.20883,0.14263,0.10994,0.06676,0.03121,0.10633,0.7995,18
0.867,0.00182,0.0066,0.60798,1.05479,0.97314,0.01442,0.01308,0.60678,0.11983,0.04081,0.1664,1.00815,0.04758,0.07345,0.04818,0.27436,0.13518,0.48554,0.64352,0.35771,0.26708,0.19312,0.13145,0.10112,0.06133,0.02866,0.09763,0.81043,18
