Time,Current density,Voltage,Voltage amplitude
0.001,-1.11E-11,0,32
4.00E-03,-1.11E-11,0,32
7.00E-03,-1.11E-11,0,32
1.00E-02,-1.11E-11,0.00E+00,32
1.30E-02,-1.11E-11,0,32
1.60E-02,-1.11E-11,0,32
1.90E-02,-1.11E-11,0,32
0.022,-1.11E-11,0,32
0.025,-1.11E-11,0,32
0.028,-1.11E-11,0,32
0.031,-1.11E-11,0,32
0.034,-1.11E-11,0,32
0.037,-1.11E-11,0,32
0.04,-1.11E-11,0,32
0.043,-1.11E-11,0,32
0.046,-1.11E-11,0,32
0.049,-1.11E-11,0,32
0.0512,6.57E-02,28.8,32
0.0524,6.75E-02,57.6,32
0.0536,6.94E-02,86.4,32
0.0548,7.14E-02,115.2,32
0.056,7.37E-02,144,32
0.0572,7.65E-02,172.8,32
0.0584,8.00E-02,201.6,32
0.0596,8.44E-02,230.4,32
0.0608,8.98E-02,259.2,32
0.062,9.67E-02,288,32
0.0632,1.05E-01,316.8,32
0.0644,1.16E-01,345.6,32
0.0656,1.31E-01,374.4,32
0.0668,1.50E-01,403.19999,32
0.068,1.75E-01,431.99999,32
0.0692,2.10E-01,460.79999,32
0.0704,2.56E-01,489.59998,32
0.0716,3.18E-01,518.39995,32
0.0728,3.97E-01,547.19987,32
0.074,4.90E-01,575.99971,32
0.0752,5.84E-01,604.79934,32
0.0764,6.64E-01,633.59855,32
0.0776,7.22E-01,662.39692,32
0.0788,7.62E-01,691.19365,32
0.08,7.88E-01,719.9873,32
0.0812,8.07E-01,748.77527,32
0.0824,8.22E-01,777.55304,32
0.0836,8.34E-01,806.31291,32
0.0848,8.44E-01,835.04197,32
0.086,8.53E-01,863.71912,32
0.0872,8.61E-01,892.31046,32
0.0884,8.68E-01,920.76276,32
0.0896,8.72E-01,948.99422,32
0.0908,8.73E-01,976.88248,32
0.092,8.70E-01,1004.2504,32
0.0932,8.62E-01,1030.8516,32
0.0944,8.47E-01,1056.3618,32
0.0956,8.24E-01,1080.384,32
0.0968,7.93E-01,1102.4788,32
0.098,7.53E-01,1122.2253,32
0.0992,7.05E-01,1139.3026,32
0.1004,6.52E-01,1153.5649,32
0.1016,5.96E-01,1165.0751,32
0.1028,5.41E-01,1174.0802,32
0.104,4.87E-01,1180.9449,32
0.1052,4.37E-01,1186.0737,32
0.1064,3.92E-01,1189.8509,32
0.1076,3.52E-01,1192.6068,32
0.1088,3.16E-01,1194.6071,32
0.11,2.84E-01,1196.0558,32
0.1112,2.56E-01,1197.1052,32
0.1124,2.30E-01,1197.8667,32
0.1136,2.08E-01,1198.4209,32
0.1148,1.89E-01,1198.8257,32
0.116,1.71E-01,1199.1226,32
0.1172,1.56E-01,1199.3414,32
0.1184,1.42E-01,1199.5032,32
0.1196,1.29E-01,1199.6236,32
0.1208,1.18E-01,1199.7135,32
0.122,1.08E-01,1199.7809,32
0.1232,9.90E-02,1199.8318,32
0.1244,9.09E-02,1199.8703,32
0.1256,8.36E-02,1199.8996,32
0.1268,7.70E-02,1199.9219,32
0.128,7.10E-02,1199.9391,32
0.1292,6.56E-02,1199.9523,32
1.30E-01,6.06E-02,1199.9625,32
1.32E-01,5.61E-02,1199.9704,32
1.33E-01,0.05204,1199.9766,32
1.34E-01,0.0483,1199.9814,32
1.35E-01,0.04487,1199.9852,32
1.36E-01,0.04173,1199.9881,32
0.1376,0.03885,1199.9905,32
0.1388,0.03621,1199.9923,32
0.14,0.03377,1199.9938,32
