Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.702,0.06107,0.13659,0.6788,0.08076,0.02223,0.42091,0.33327,0.67239,0.64133,0.18881,0.74492,1.03013,0.2188,0.24014,0.20674,1.0605,0.2225,0.68394,1.71261,0.6691,0.69179,0.60547,0.46788,0.38397,0.24877,0.12119,0.42342,0.09103,26
0.7056,0.05139,0.12506,0.692,0.07757,0.02119,0.40876,0.3269,0.68568,0.63131,0.18594,0.73516,1.02979,0.21552,0.23929,0.20451,1.05151,0.22209,0.68436,1.71066,0.67108,0.69111,0.6031,0.46508,0.38114,0.24647,0.11985,0.41803,0.10339,26
0.7092,0.04418,0.11588,0.70443,0.07478,0.02015,0.39616,0.31989,0.69822,0.62092,0.18306,0.72522,1.02945,0.21222,0.23832,0.20222,1.04217,0.22165,0.6849,1.70812,0.67296,0.69022,0.6005,0.46208,0.37815,0.24407,0.11847,0.4125,0.11623,26
0.7128,0.03858,0.10822,0.71596,0.07233,0.01911,0.38318,0.31229,0.70986,0.61016,0.18016,0.7151,1.02909,0.20889,0.23723,0.19985,1.03248,0.22117,0.68551,1.70496,0.67473,0.68909,0.59767,0.4589,0.375,0.24157,0.11704,0.40683,0.12948,26
0.7164,0.0341,0.10159,0.72647,0.07013,0.01807,0.36986,0.30413,0.72048,0.59904,0.17723,0.70479,1.02873,0.20553,0.23601,0.1974,1.02243,0.22065,0.68615,1.70114,0.67637,0.68773,0.59461,0.45552,0.3717,0.23898,0.11557,0.40103,0.1431,26
0.72,0.03041,0.09566,0.73587,0.06815,0.01705,0.35625,0.29546,0.73,0.58756,0.17428,0.69431,1.02836,0.20214,0.23466,0.19489,1.01201,0.22008,0.68678,1.69666,0.67787,0.68612,0.59129,0.45194,0.36823,0.23628,0.11405,0.39508,0.15705,26
0.7236,0.02731,0.09027,0.74411,0.06635,0.01604,0.34242,0.28632,0.73835,0.57572,0.1713,0.68365,1.02798,0.19871,0.23319,0.1923,1.00124,0.21947,0.68737,1.69146,0.67922,0.68424,0.58772,0.44815,0.36461,0.23349,0.11249,0.389,0.1713,26
0.7272,0.02467,0.08527,0.75112,0.0647,0.01504,0.32842,0.27678,0.74549,0.56353,0.1683,0.67281,1.02759,0.19526,0.23158,0.18964,0.99009,0.2188,0.68789,1.68554,0.68041,0.68209,0.58389,0.44416,0.36082,0.23059,0.11088,0.38279,0.18582,26
0.7308,0.02239,0.08059,0.7569,0.06319,0.01407,0.31432,0.26689,0.75139,0.55101,0.16527,0.6618,1.02719,0.19177,0.22983,0.18691,0.97856,0.21809,0.68833,1.67885,0.68142,0.67965,0.57979,0.43996,0.35686,0.22759,0.10923,0.37646,0.20055,26
0.7344,0.0204,0.07617,0.76141,0.0618,0.01312,0.30018,0.25672,0.75603,0.53818,0.16221,0.65062,1.02679,0.18825,0.22794,0.18411,0.96666,0.21731,0.68866,1.67136,0.68223,0.67692,0.57541,0.43554,0.35274,0.2245,0.10754,0.37,0.21548,26
0.738,0.01866,0.07197,0.76466,0.06051,0.0122,0.28607,0.24634,0.75941,0.52504,0.15913,0.63927,1.02637,0.1847,0.22591,0.18124,0.95437,0.21649,0.68886,1.66306,0.68285,0.67387,0.57075,0.43091,0.34844,0.2213,0.10581,0.36342,0.23058,26
0.7416,0.01711,0.06797,0.76666,0.05931,0.01132,0.27205,0.2358,0.76155,0.51162,0.15602,0.62775,1.02594,0.18112,0.22374,0.1783,0.9417,0.2156,0.68891,1.65391,0.68324,0.67051,0.5658,0.42606,0.34398,0.21801,0.10404,0.35673,0.2458,26
0.7452,0.01574,0.06415,0.76743,0.0582,0.01046,0.25819,0.22518,0.76245,0.49793,0.15289,0.61606,1.02551,0.1775,0.22141,0.1753,0.92864,0.21466,0.68879,1.64388,0.68339,0.66681,0.56056,0.42098,0.33935,0.21462,0.10222,0.34992,0.26112,26
